Position	StartingPosition	StartingTime	Age	Category	Swim	Cycle	Run	Total
359	160	09:24:45	36	G	00:08:51 	00:57:42	00:36:20	01:42:53
360	350	10:12:15	32	F	00:09:44 	01:01:28	00:31:42	01:42:54
361	340	10:09:45	28	E	00:09:48 	00:53:21	00:39:52	01:43:01
362	212	09:37:45	67	M	00:10:30 	00:53:00	00:39:32	01:43:02
363	424	10:30:45	53	J	00:10:11 	01:00:16	00:32:50	01:43:17
364	293	09:58:00	36	G	00:13:22 	01:00:26	00:30:05	01:43:53
365	78	09:04:15	28	E			00:26:09	01:43:59
366	321	10:05:00	33	F	00:09:45 	00:58:56	00:35:29	01:44:10
367	387	10:21:30	46	I	00:05:29 	01:01:15	00:37:46	01:44:30
368	163	09:25:30	45	I	00:09:42 	01:11:05	00:24:00	01:44:47
369	270	09:52:15	38	G	00:09:30 	01:00:15	00:35:36	01:45:21
370	208	09:36:45	42	H	00:08:04 	00:57:12	00:40:09	01:45:25
371	3	08:45:30	26	E	00:05:49 			01:45:34
372	307	10:01:30	60	L	00:10:30 	00:54:12	00:42:03	01:46:45
373	402	10:25:15	40	H	00:13:16 	00:54:40	00:39:13	01:47:09
374	400	10:24:45	44	H	00:11:37 	00:56:45	00:39:14	01:47:36
375	13	08:48:00	39	G				01:49:26
376	345	10:11:00	27	E	00:14:07 	01:00:00	00:35:26	01:49:33
377	323	10:05:30	35	G	00:12:29 	01:06:13	00:32:25	01:51:07
378	260	09:49:45	33	F	00:08:14 	01:11:51	00:31:06	01:51:11
379	413	10:28:00	31	F	00:12:50 	00:59:48	00:38:37	01:51:15
380	361	10:15:00	30	F	00:13:00 	01:03:32	00:35:25	01:51:57
381	407	10:26:30	48	I	00:13:10 	01:19:41	00:24:05	01:56:56
382	395	10:23:30	53	J	00:14:49 	01:05:37	00:37:00	01:57:26
383	414	10:28:15	64	L	00:18:47 	01:01:10	00:38:05	01:58:02
384	385	10:21:00	55	K	00:11:38 	01:09:14	00:39:35	02:00:27
385	19	08:49:30	28	E				02:01:45
386	379	10:19:30	39	G	00:11:54 	01:01:00	00:55:34	02:08:28
387	419	10:29:30	15	A	00:10:48 	01:22:48	00:34:55	02:08:31
388	351	10:12:30	30	F	00:12:16 	01:24:10	00:35:57	02:12:23
389	24	08:50:45	32	F				02:12:32
390	253	09:48:00	31	F	00:06:52			02:41:39
391	45	08:56:00	39	G				03:24:28
392	46	08:56:15	42	H				03:29:02
393	8	08:46:45	35	G				03:49:43
