"FROTA";"ANO";"MES";"EFF";"LAGE";"BRANCA"
"BRA-ESP";1999;9;4144;1017,72;158,94
"BRA-ESP";1999;9;6500;586,41;178,61
"BRA-ESP";1999;9;58500;13729;2772,09
"BRA-ESP";1999;9;11000;1586,58;1584,32
"BRA-ESP";1999;9;4000;351,36;238,14
"BRA-ESP";1999;10;9310;2831,93;20,53
"BRA-ESP";1999;10;3910;644,89;115,31
"BRA-ESP";1999;10;1840;27,03;23,65
"BRA-ESP";1999;10;45180;6669,71;2483,06
"BRA-ESP";1999;10;7550;871,25;159,88
"BRA-ESP";1999;10;NA;NA;NA
"BRA-ESP";1999;11;25703;18812,8;2270,64
"BRA-ESP";1999;11;NA;NA;NA
"BRA-ESP";1999;11;45660;17856,72;6383,17
"BRA-ESP";1999;11;2000;893,41;50,27
"BRA-ESP";1999;11;5000;643,67;70,16
"BRA-ESP";1999;12;4230;1695,23;450,63
"BRA-ESP";1999;12;37554;17567,14;2237,6
"BRA-ESP";1999;12;49600;13384,3;7180,9
"BRA-ESP";2000;1;35100;871,46;49920,31
"BRA-ESP";2000;1;87267;4196,25;61994,86
"BRA-ESP";2000;1;14360;2852,97;3356,84
"BRA-ESP";2000;2;53922;158,27;25854,26
"BRA-ESP";2000;2;89625;1311,38;55717,23
"BRA-ESP";2000;2;112693;1835,08;52064,86
"BRA-ESP";2000;3;16170;25815,66;904,61
"BRA-ESP";2000;3;16376;164,16;2744,45
"BRA-ESP";2000;3;29370;384,46;9152,35
"BRA-ESP";2000;3;NA;NA;NA
"BRA-ESP";2000;4;9835;7610,43;340,02
"BRA-ESP";2000;5;101163;1481,23;46579,14
"BRA-ESP";2000;6;83116;1955,55;34812,68
"BRA-ESP";2000;6;161887;5220,45;41875,66
"BRA-ESP";2000;6;113106;2385,34;30770,76
"BRA-ESP";2000;6;6200;294,09;707,63
"BRA-ESP";2000;7;8260;911,45;1098,07
"BRA-ESP";2000;7;34350;1077,43;19522,98
"BRA-ESP";2000;7;30055;3414,18;5013,82
"BRA-ESP";2000;7;46180;1513,07;9481,86
"BRA-ESP";2000;7;128920;4299,37;44378,7
"BRA-ESP";2000;7;53677;2021,47;9583,37
"BRA-ESP";2000;8;11496;1700,37;1842,47
"BRA-ESP";2000;8;14581;5298,22;707,26
"BRA-ESP";2000;8;7548;371,32;3050,48
"BRA-ESP";2000;8;31148;6190,62;3751,31
"BRA-ESP";2000;8;72479;21488,47;26492,12
"BRA-ESP";2000;9;9810;2664,1;1739,65
"BRA-ESP";2000;10;28100;8995,17;96,14
"BRA-ESP";2000;11;2090;1184,33;14,99
"BRA-ESP";2000;11;23900;1691,14;7051,21
"BRA-ESP";2000;11;31160;11141,35;16112,47
"BRA-ESP";2000;11;5025;4676,38;202,55
"BRA-ESP";2000;11;NA;NA;NA
"BRA-ESP";2000;12;16870;17296,02;265,93
"BRA-ESP";2000;12;43749;304,46;51271,34
"BRA-ESP";2000;12;26910;870,66;35758,12
"BRA-ESP";2000;12;92840;2972,24;27497,55
"BRA-ESP";2001;1;34430;27118,82;13623,37
"BRA-ESP";2001;1;126808;2241,31;50946,77
"BRA-ESP";2001;1;127050;2597,01;67079,95
"BRA-ESP";2001;1;137270;13424,95;38010,29
"BRA-ESP";2001;2;NA;NA;NA
"BRA-ESP";2001;2;95506;1216,6;42110,76
"BRA-ESP";2001;2;20700;2153,22;5897,38
"BRA-ESP";2001;2;61400;944,4;17738,8
"BRA-ESP";2001;4;NA;NA;NA
"BRA-ESP";2001;4;NA;NA;NA
"BRA-ESP";2001;4;64945;9963,72;12699,65
"BRA-ESP";2001;4;3100;684,52;115,46
"BRA-ESP";2001;5;9125;515,52;276,69
"BRA-ESP";2001;5;2200;322,81;197,65
"BRA-ESP";2001;5;127730;49652,62;5953,26
"BRA-ESP";2001;5;62660;12233,64;2181,55
"BRA-ESP";2001;5;2200;1247,12;530,37
"BRA-ESP";2001;5;27000;8700,37;4348,96
"BRA-ESP";2001;6;27685;3678,78;875,06
"BRA-ESP";2001;6;1000;45,62;45,32
"BRA-ESP";2001;6;259255;89679,99;6977,52
"BRA-ESP";2001;6;5690;542,32;367,84
"BRA-ESP";2001;6;3000;486,59;378,84
"BRA-ESP";2001;6;5500;1769,75;2625,22
"BRA-ESP";2001;6;47450;16637,29;6104,49
"BRA-ESP";2001;7;13745;2174,96;356,7
"BRA-ESP";2001;7;1000;337,68;227,06
"BRA-ESP";2001;7;106810;23988,93;5197,79
"BRA-ESP";2001;7;28640;1919,73;1587,56
"BRA-ESP";2001;7;NA;NA;NA
"BRA-ESP";2001;7;32400;27362,39;2864,86
"BRA-ESP";2001;7;7600;887,02;255,38
"BRA-ESP";2001;8;4600;581,37;85,58
"BRA-ESP";2001;9;3940;441,11;39,26
"BRA-ESP";2001;9;12000;5123,31;3979,1
"BRA-ESP";2001;9;NA;NA;NA
"BRA-ESP";2001;10;47957;2257,27;4405,96
"BRA-ESP";2001;10;NA;NA;NA
"BRA-ESP";2001;10;6062;2006,93;2430,14
"BRA-ESP";2001;10;3000;1061,43;761,22
"BRA-ESP";2001;10;6818;283,23;75,71
"BRA-ESP";2001;11;5000;2389,36;2271,55
"BRA-ESP";2001;11;3000;948,07;1443,57
"BRA-ESP";2001;11;139935;2635,11;1734,74
"BRA-ESP";2001;11;12050;3257,63;3141,8
"BRA-ESP";2001;11;2000;1159,02;554,69
"BRA-ESP";2001;11;20975;6895,28;4635,87
"BRA-ESP";2001;11;10000;7127,25;1899,28
"BRA-ESP";2001;11;2000;974,08;834,26
"BRA-ESP";2001;11;10000;5031,93;5154,2
"BRA-ESP";2001;11;5000;1398,02;1544,65
"BRA-ESP";2001;11;4000;2525,31;1650,32
"BRA-ESP";2001;12;5000;1178,48;1717,09
"BRA-ESP";2001;12;NA;NA;NA
"BRA-ESP";2001;12;124222;112909,44;10797,07
"BRA-ESP";2002;1;66762;12689,08;8338,16
"BRA-ESP";2002;1;7450;2221,27;1452,76
"BRA-ESP";2002;1;1050;309,85;85,74
"BRA-ESP";2002;6;15523;1998,47;92,78
"BRA-ESP";2002;6;13967;2048,68;68,46
"BRA-ESP";2002;7;7320;2951,43;237,51
"BRA-ESP";2002;8;1100;955,22;88,19
"BRA-ESP";2002;8;NA;NA;NA
"BRA-ESP";2002;8;4600;2038,41;1608,64
"BRA-ESP";2002;8;2200;264,19;1375,32
"BRA-ESP";2002;9;1020;841,61;260,27
"BRA-ESP";2002;9;3300;1938,65;334,89
"BRA-ESP";2002;9;13980;13131,36;2585,33
"BRA-ESP";2002;9;900;775,18;107,86
"BRA-ESP";2002;10;1000;1783,97;463,51
"BRA-ESP";2002;10;23200;17560,74;2432,7
"BRA-ESP";2002;11;990;790,72;203,28
"BRA-ESP";2002;11;3100;702,41;43,95
"BRA-ESP";2002;11;13200;6444,27;638,25
"BRA-ESP";2002;12;43533;338,66;449,96
"BRA-ESP";2002;12;NA;NA;NA
"BRA-ESP";2002;12;2000;135,32;17,49
