"FROTA";"ANO";"MES";"EFF";"LAGE";"BRANCA"
"BRA";1999;7;54660;2903,32;1899,3
"BRA";1999;8;7220;2654,81;12,28
"BRA";1999;8;11120;1742,28;60,05
"BRA";1999;8;25200;666,2;717,29
"BRA";1999;8;47400;1989,69;1878,37
"BRA";1999;8;42860;11032,89;2063,79
"BRA";1999;8;NA;NA;NA
"BRA";1999;9;800;166,5;10,58
"BRA";1999;9;NA;NA;NA
"BRA";1999;9;800;84,4;11,31
"BRA";1999;9;NA;NA;NA
"BRA";1999;9;21200;1161,76;45,99
"BRA";1999;9;2000;84,55;70,52
"BRA";1999;9;36800;1326,84;718,21
"BRA";1999;9;NA;NA;NA
"BRA";1999;9;19500;4562,39;485,73
"BRA";1999;10;4800;995,8;172,59
"BRA";1999;10;13500;5309,68;304,58
"BRA";1999;10;13800;4066,03;300,92
"BRA";1999;10;NA;NA;NA
"BRA";1999;10;28600;2488,8;359,93
"BRA";1999;10;33800;1993,37;231,32
"BRA";1999;10;8000;3318,56;128,01
"BRA";1999;10;17000;3235,37;475,56
"BRA";1999;10;2000;18248,38;428,61
"BRA";1999;11;25800;19908,79;741,83
"BRA";1999;11;6400;4230,4;57,92
"BRA";1999;11;NA;NA;NA
"BRA";1999;11;21000;11115,17;787,38
"BRA";1999;11;13000;2570,87;346,6
"BRA";1999;11;3000;82,23;11,63
"BRA";1999;11;7000;248,65;11,9
"BRA";1999;12;19200;13356,85;487,22
"BRA";1999;12;NA;NA;NA
"BRA";1999;12;13800;4562,07;555,26
"BRA";1999;12;2630;827,85;291,01
"BRA";1999;12;1100;165,06;34,42
"BRA";1999;12;4400;663,17;196,16
"BRA";1999;12;7900;746,68;80,89
"BRA";1999;12;21100;29115,95;822,69
"BRA";1999;12;4600;84,96;24,29
"BRA";1999;12;20200;912,21;23,26
"BRA";2000;1;66400;12826,55;1525,12
"BRA";2000;1;4000;347,9;20,97
"BRA";2000;1;1000;446,47;21,68
"BRA";2000;1;1200;25,02;21,15
"BRA";2000;2;800;74,81;85,97
"BRA";2000;2;3400;348,4;20,57
"BRA";2000;2;124030;18444,5;4636,21
"BRA";2000;2;9200;2013,88;44,94
"BRA";2000;2;NA;NA;NA
"BRA";2000;3;1000;73,16;41,69
"BRA";2000;3;11200;2611,26;235,56
"BRA";2000;3;73390;11535,82;3090,49
"BRA";2000;3;22600;2015,96;581,89
"BRA";2000;3;1700;348,2;22,78
"BRA";2000;4;NA;NA;NA
"BRA";2000;4;24700;1019,36;129,36
"BRA";2000;5;1000;24,93;42,53
"BRA";2000;5;NA;NA;NA
"BRA";2000;5;14700;967,87;299,79
"BRA";2000;5;20880;1690,4;235,58
"BRA";2000;5;11600;446,9;66,06
"BRA";2000;6;5250;223,79;42,89
"BRA";2000;6;12030;843,13;43,06
"BRA";2000;6;5480;73,08;300,82
"BRA";2000;6;4000;15,85;204,63
"BRA";2000;6;5100;130,94;530,58
"BRA";2000;7;15900;930,02;41,95
"BRA";2000;7;26300;1037,67;1189,31
"BRA";2000;7;13400;547;987,18
"BRA";2000;7;28000;4796,53;3801,73
"BRA";2000;7;13350;4723,55;2111,86
"BRA";2000;7;10000;872,41;2614,67
"BRA";2000;8;NA;NA;NA
"BRA";2000;8;37270;756,79;1748,73
"BRA";2000;8;NA;NA;NA
"BRA";2000;8;2000;58,01;12,01
"BRA";2000;8;7000;163,08;192,87
"BRA";2000;8;3100;316,32;33,96
"BRA";2000;8;23900;582,74;84,05
"BRA";2000;8;4000;767,34;117,93
"BRA";2000;9;20800;1590,44;22,35
"BRA";2000;9;NA;NA;NA
"BRA";2000;9;7100;207,98;35,86
"BRA";2000;9;7200;1627,65;135,51
"BRA";2000;9;NA;NA;NA
"BRA";2000;10;9850;1939,39;385,72
"BRA";2000;10;NA;NA;NA
"BRA";2000;10;13200;57,57;168,18
"BRA";2000;10;10000;173,8;45,02
"BRA";2000;10;9000;310,23;119,07
"BRA";2000;10;NA;NA;NA
"BRA";2000;11;44887;6254,68;791,35
"BRA";2000;11;13200;563,96;1807,21
"BRA";2000;11;4000;84,73;22,1
