Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
MG,3133204,Itanhomi,91.231,96.03,12.28,14.679,2.733,3154,
MG,3133303,Itaobim,61.818,90.947,9.27,15.727,1.973,5234,
MG,3133402,Itapagipe,95.324,95.122,32.63,43.866,2.903,3614,
MG,3133501,Itapecerica,94.798,98.054,22.686,34.506,4.578,6063,
MG,3133600,Itapeva,94.657,97.699,25.985,42.129,2.91,2142,
MG,3133709,Itatiaiuçu,93.214,98.298,12.57,31.451,1.591,2289,
MG,3133758,Itaú de Minas,92.896,99.813,30.835,42.531,7.759,3910,
MG,3133808,Itaúna,98.875,99.85,43.191,44.625,10.799,21560,
MG,3133907,Itaverava,82.197,87.708,3.838,19.518,0.619,1514,
MG,3134004,Itinga,39.348,74.772,2.885,6.372,1.182,3170,
MG,3134103,Itueta,93.303,97.103,7.922,25.222,0.794,1538,
MG,3134202,Ituiutaba,95.442,99.241,55.95,35.747,8.113,27069,
MG,3134301,Itumirim,96.509,98.233,12.489,31.544,3.503,1607,
MG,3134400,Iturama,94.998,96.283,50.096,38.469,6.541,8539,
MG,3134509,Itutinga,84.813,95.838,18.055,34.541,3.466,1134,
MG,3134608,Jaboticatubas,80.319,92.342,20.362,26.886,2.81,3617,
MG,3134707,Jacinto,49.748,83.63,6.749,8.23,1.846,3210,
MG,3134806,Jacuí,94.539,98.178,16.122,49.915,2.834,2149,
MG,3134905,Jacutinga,91.898,99.313,32.1,51.48,7.636,5330,
MG,3135001,Jaguaraçu,86.136,97.825,18.657,29.43,4.398,722,
MG,3135050,Jaíba,67.169,93.658,10.55,14.202,1.313,5927,
MG,3135076,Jampruca,66.097,88.228,7.862,8.286,0.753,1208,
MG,3135100,Janaúba,74.565,97.118,28.275,16.529,4.055,14432,
MG,3135209,Januária,61.119,83.693,22.231,12.738,2.656,14168,
MG,3135308,Japaraíba,97.898,99.618,17.364,40.603,2.798,907,
MG,3135357,Japonvar,40.592,72.086,3.031,8.275,0.327,1800,
MG,3135407,Jeceaba,87.579,91.752,11.643,29.852,1.297,1584,
MG,3135456,Jenipapo de Minas,31.037,44.026,6.457,4.887,0.164,1390,
MG,3135506,Jequeri,76.811,80.572,7.419,19.608,1.742,3502,
MG,3135605,Jequitaí,59.529,82.526,7.624,15.01,0.834,2208,
MG,3135704,Jequitibá,75.228,92.264,9.56,20.353,1.053,1327,
MG,3135803,Jequitinhonha,57.4,82.67,8.465,8.677,2.661,5850,
MG,3135902,Jesuânia,96.27,98.93,13.757,30.801,3.184,1299,
MG,3136009,Joaíma,60.525,78.826,14.195,8.184,2.056,3465,
MG,3136108,Joanésia,76.75,91.384,4.054,17.603,0.735,1648,
MG,3136207,João Monlevade,96.37,99.508,48.268,42.043,11.653,17540,
MG,3136306,João Pinheiro,83.441,93.688,16.327,29.076,2.64,11081,
MG,3136405,Joaquim Felício,77.258,93.776,12.507,18.585,1.127,979,
MG,3136504,Jordânia,52.97,81.716,10.312,6.281,1.301,2504,
MG,3136520,José Gonçalves de Minas,48.444,70.317,4.631,11.058,0.235,968,
MG,3136553,José Raydan,60.398,80.275,4.064,13.826,0.527,910,
MG,3136579,Josenópolis,15.106,45.494,4.435,5.971,0.723,946,
MG,3136603,Nova União,88.041,95.788,22.49,30.682,2.008,1383,
MG,3136652,Juatuba,91.295,97.661,25.876,26.75,5.079,4382,
MG,3136702,Juiz de Fora,98.8,99.639,73.948,38.644,18.763,134765,
MG,3136801,Juramento,53.897,85.482,9.809,13.189,0.978,915,
